mfp,kappa
0.01000000071,3.3125922780925576e-08
0.01204503421,6.801879549426414e-08
0.01450828929,2.084293076243552e-07
0.01747528464,3.4141469711326205e-07
0.0210490413,5.417160592777749e-07
0.02535364218,9.711937437926475e-07
0.0305385571,1.943733512601509e-06
0.0367837958,3.243578115897287e-06
0.04430620745,6.608932575732104e-06
0.05336699635,1.304391786536491e-05
0.06428073347,2.5321343838307e-05
0.07742635906,5.752580777917469e-05
0.09326034039,0.00011106204990674313
0.1123324037,0.00018657814393151462
0.1353047639,0.00027880352813772555
0.1629751027,0.000399195903584967
0.196304068,0.0005844215588623346
0.2364489287,0.0009429594028055681
0.2848035991,0.001524843322350685
0.3430469334,0.0026924439386213092
0.4132012129,0.005334350005798635
0.4977024198,0.008390004607117679
0.5994842649,0.012610164491783666
0.7220808864,0.01966514315768995
0.8697491884,0.027976478516111503
1.047615528,0.0333343185054037
1.261856914,0.040603492897707066
1.519911289,0.051628626340233935
1.830737948,0.06730506751039761
2.205130816,0.09668238805237321
2.656088352,0.14471197850672587
3.199266672,0.22714066909661643
3.853528738,0.3705252281922579
4.641589642,0.48456639725434325
5.590809345,0.6230544193710548
6.734150887,0.7748904699557109
8.111310005,1.0008078969200385
9.770097733,1.1674131467779727
11.76811981,1.4041035397481716
14.17474556,1.6646198039833866
17.07352448,1.979768059048239
20.56512451,2.5770270415054757
24.77076912,4.024417240264192
29.83646965,5.896020221789602
35.93814087,7.663928907304835
43.28762436,9.06058152808702
52.1400795,10.489286408356852
62.8029213,12.361132601764291
75.64634705,13.828331696350356
91.11626434,14.751222151745427
109.7498322,16.93311423443235
132.1940765,20.301203269543375
159.2282715,23.64903646594017
191.7910461,26.948459153150864
231.0130463,31.40939773604861
278.256073,33.679083863705934
335.1601257,36.97640002957404
403.7016296,40.740492635036375
486.2601624,43.162014701068074
585.7021484,44.71597003844796
705.4804688,47.080457281301946
849.7539062,49.245329391971545
1023.53064,54.394231877043545
1232.846436,57.382430434505686
1484.968262,59.41720204196341
1788.649902,60.996274444382536
2154.435547,61.759607854390424
2595.022949,62.28507022394676
3125.714844,64.66443491634077
3764.935303,64.84070035643063
4534.878906,65.86481998001871
5462.278809,66.09491933722887
6579.334961,66.79367532930316
7924.825195,69.5472140185907
9545.481445,69.5472140185907
11497.56836,70.0612084578361
13848.86426,70.34865856521668
16681.00977,70.34865856521668
20092.33789,71.02144595912195
24201.27148,71.02144595912195
29150.52344,71.02144595912195
35111.91406,71.02144595912195
42292.43359,71.02144595912195
50941.39453,71.02144595912195
61359.10156,71.02144595912195
73907.1875,71.02144595912195
89021.48438,71.02144595912195
107226.7188,71.02144595912195
129154.9844,71.02144595912195
155567.6562,71.02144595912195
187381.8281,71.02144595912195
225701.8906,71.02144595912195
271858.7812,71.02144595912195
327454.9375,71.02144595912195
394420.6875,71.02144595912195
475081.1875,71.02144595912195
572237.0625,71.02144595912195
689261.0,71.02144595912195
830217.4375,71.02144595912195
1000000.0,71.02144595912195
