omega,kappa
0.117275243081341,4.5892234382669255
0.234550486194513,9.431289272239397
0.351825729212192,14.608658221357688
0.469100972389026,18.438369176576618
0.5863762154067049,21.42458563960336
0.703651458424384,24.531355254256702
0.8209267016012181,27.298864342393678
0.938201944618897,30.436975558297334
1.055477187795731,33.67403998762536
1.1727524308134099,36.46017243051648
1.290027673831089,38.95179954739435
1.407302917007923,41.2673580165122
1.524578160025602,43.505233883468875
1.641853403520746,45.48918191010334
1.75912864606096,47.321320786014944
1.8764038886011742,49.40825490803117
1.993679132732938,51.55151336228309
2.110954375273152,53.641282119716735
2.2282296178133665,55.60476935864064
2.34550486194513,57.07000627917436
2.462780104485344,58.285426009180334
2.5800553470255583,59.32580208531068
2.697330591157322,60.34113841947817
2.814605833697536,61.22989630636189
2.9318810762377505,62.02307475089875
3.049156320369514,62.87976608474671
3.166431562909728,63.760904690336424
3.283706807041492,64.7055831973093
3.400982049581706,65.65606746360804
3.51825729212192,66.52988718499519
3.6355325362536837,67.33668660968372
3.752807778793898,68.04423621452335
3.870083021334112,68.57543652759924
3.987358265465876,68.99155953794198
4.10463350800609,69.25573172699657
4.221908750546304,69.41853450542362
4.339183994678068,69.59472576432465
4.456459237218282,69.76654967713912
4.573734479758496,69.94439728202401
4.69100972389026,70.0544748215937
4.808284966430474,70.06598122982602
4.925560208970688,70.06598122982602
5.042835453102452,70.06598122982602
5.160110695642666,70.06726650665075
5.2773859381828805,70.08438807996632
5.394661182314644,70.12040586260687
5.5119364248548575,70.17235232139258
5.629211667395072,70.2420396725721
5.746486911526836,70.33158803737265
5.863762154067049,70.4194303164373
5.981037396607264,70.48398468026105
6.098312640739028,70.52507330617013
6.215587883279242,70.55067316099284
6.332863125819456,70.56934694916252
6.45013836995122,70.59461294783173
6.567413612491434,70.6256450445971
6.684688855031649,70.66520104144452
6.801964099163412,70.70339639697009
6.9192393417036255,70.73432628038121
7.03651458424384,70.75734297320061
7.153789828375603,70.77155315927467
7.271065070915817,70.77503755335607
7.388340313456032,70.77503755335607
7.505615557587796,70.77503755335607
7.622890800128009,70.77503755335607
7.740166042668224,70.77503755335607
7.857441286799988,70.77503755335607
7.974716529340203,70.77503755335607
8.091991771880416,70.77503755335607
8.20926701601218,70.77503755335607
8.326542258552394,70.77503755335607
8.443817501092608,70.77523267681318
8.561092745224371,70.77892508833172
8.678367987764586,70.78213789275806
8.795643230304801,70.78244355353122
8.912918474436564,70.78454466021827
9.030193716976777,70.79009404968193
9.147468961108542,70.80156259204887
9.264744203648757,70.81893241528353
9.38201944618897,70.84124128572513
9.499294690320733,70.86658774935826
9.616569932860948,70.89479855352731
9.733845175401163,70.92155188911318
9.851120419532926,70.94535540033986
9.96839566207314,70.96305153103722
10.085670904613355,70.97994541951576
10.202946148745118,70.99532553025783
10.320221391285331,71.00756950679022
10.437496633825544,71.01526092908637
10.55477187795731,71.01989113282886
10.672047120497524,71.02144595912195
10.789322363037739,71.02144595912195
10.906597607169502,71.02144595912195
11.023872849709715,71.02144595912195
11.141148092249932,71.02144595912195
11.258423336381693,71.02144595912195
11.375698578921908,71.02144595912195
11.492973821462122,71.02144595912195
11.610249065593885,71.02144595912195
11.727524308134099,71.02144595912195
